gene	transcript	hgvs_c	classification	PhastCons100way	PhyloP100way	REVEL	SpliceAI_masked	FAF95_grpmax	CADD_phred	AlphaMissense_pred	ClinVar_sig
ACD	NM_001082486.2	c.1162A>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.001	0.364	.;.;.			21.7	.;.;.	
ACD	NM_001082486.2	c.1162A>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.001	0.364	.;.;.			17.84	.;.;.	
ACD	NM_001082486.2	c.1162A>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.001	0.364	.;.;.			12.42	.;.;.	
ACD	NM_001082486.2	c.987G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	-3.29				0.008		
ACD	NM_001082486.2	c.987G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	-3.29				0.004		Likely_benign
ACD	NM_001082486.2	c.987G>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	-3.29			6.80000e-07	0.391		Likely_benign
ACD	NM_001082486.2	c.320T>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.765	2.494	.;.;.			27.4	.;.;.	
ACD	NM_001082486.2	c.320T>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.765	2.494	.;.;.			26.1	.;.;.	
ACD	NM_001082486.2	c.320T>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.765	2.494	.;.;.			28.0	.;.;.	
ACD	NM_001082486.2	c.319G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.782	1.528	.;.;.			24.6	.;.;.	
ACD	NM_001082486.2	c.319G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.782	1.528	.;.;.			21.3	.;.;.	
ACD	NM_001082486.2	c.319G>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.782	1.528	.;.;.			19.61	.;.;.	
ACD	NM_001082486.2	c.108G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.994	1.631	.;.;.;.			22.0	.;.;.;.	
ACD	NM_001082486.2	c.108G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.994	1.631	.;.;.;.			21.3	.;.;.;.	Uncertain_significance
ACD	NM_001082486.2	c.108G>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.994	1.631	.;.;.;.		2.80000e-07	8.561	.;.;.;.	
ACD	NM_001082486.2	c.107A>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.989	0.526	.;.;.;.			16.89	.;.;.;.	
ACD	NM_001082486.2	c.107A>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.989	0.526	.;.;.;.		0.000242930	16.07	.;.;.;.	Uncertain_significance
ACD	NM_001082486.2	c.107A>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.989	0.526	.;.;.;.			21.6	.;.;.;.	
AIP	NM_003977.4	c.682C>A	Benign FAF >5%	0.003	1.3	.;0.117;0.117;.;.;.;.;.;.;.;.		0.996904	14.3	.;B;LB;.;.;.;.;.;.;.;.	Benign
AIP	NM_003977.4	c.*2A>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.011	-0.095				6.242		
AIP	NM_003977.4	c.*2A>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.011	-0.095				7.591		
AIP	NM_003977.4	c.*2A>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.011	-0.095				7.061		
AIP	NM_003977.4	c.*6G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.018	-0.403				2.304		
AIP	NM_003977.4	c.*6G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.018	-0.403				2.861		
AIP	NM_003977.4	c.*9C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.019	0.498				2.987		
AIP	NM_003977.4	c.*9C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.019	0.498				3.149		
AIP	NM_003977.4	c.*10T>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	-0.621				0.261		
AIP	NM_003977.4	c.*10T>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	-0.621				0.276		
AIP	NM_003977.4	c.*12G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	-0.126				0.899		
AIP	NM_003977.4	c.*12G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	-0.126				1.022		
AIP	NM_003977.4	c.*16C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.001	1.03				4.44		
AIP	NM_003977.4	c.*16C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.001	1.03				4.628		
AIP	NM_003977.4	c.*24C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	-0.342				1.561		
AIP	NM_003977.4	c.*24C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	-0.342				1.64		
AIP	NM_003977.4	c.*25C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.009	1.041				3.934		
AIP	NM_003977.4	c.*25C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.009	1.041				3.172		
AIP	NM_003977.4	c.*33C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	0.375				2.805		
AIP	NM_003977.4	c.*33C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	0.375				3.197		
AIP	NM_003977.4	c.*37C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	-0.04				0.286		
AIP	NM_003977.4	c.*37C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	-0.04				0.316		
AIP	NM_003977.4	c.*40C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.488	1.356				6.496		
AIP	NM_003977.4	c.*40C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.488	1.356			8.04600e-05	7.193		
AIP	NM_003977.4	c.*45G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	-1.502				0.222		
AIP	NM_003977.4	c.*45G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	-1.502				0.191		
AIP	NM_003977.4	c.*46C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	0.405				7.313		
AIP	NM_003977.4	c.*46C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	0.405				8.383		
AIP	NM_003977.4	c.*58C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.001	0.097				0.983		
AIP	NM_003977.4	c.*58C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.001	0.097				1.14		
AIP	NM_003977.4	c.*67C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.001	0.998				2.284		
AIP	NM_003977.4	c.*67C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.001	0.998				2.809		
AIP	NM_003977.4	c.*75T>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	-1.123				0.938		
AIP	NM_003977.4	c.*75T>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	-1.123				1.303		
AIP	NM_003977.4	c.*87T>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.513	-0.165				7.866		
AIP	NM_003977.4	c.*87T>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.513	-0.165				10.03		
AIP	NM_003977.4	c.*93G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.999	0.173				8.924		
AIP	NM_003977.4	c.*93G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.999	0.173			1.11400e-05	9.319		
AIP	NM_003977.4	c.*105T>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.989	0.815				16.88		
AIP	NM_003977.4	c.*105T>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.989	0.815				16.36		
ALK	NM_004304.5	c.4587C>G	Benign FAF >5%	0.0	-0.102	.;0.063;.		0.720400	0.041	LB;B;LB	Benign
ALK	NM_004304.5	c.4472A>G	Benign FAF >5%	1.0	1.813	.;0.088;.		0.720963	18.05	LB;B;LB	Benign
ALK	NM_004304.5	c.4381A>G	Benign FAF >5%	0.0	-0.984	.;0.021;.		0.998376	0.009	LB;B;LB	Benign
ALK	NM_004304.5	c.3516-375C>A	Benign FAF >5%	0.235	1.699	0.079		0.707832	13.52	LP	
ALK	NM_004304.5	c.3516-394G>A	Benign FAF >5%	0.0	0.004			0.996084	5.484		
ALK	NM_004304.5	c.3516-395T>C	Likely_benign FAF >0.1%, REVEL <0.29, SpliceAI<=0.1	0.0	-0.35	0.102		0.00328317	2.408	A	
ALK	NM_004304.5	c.2763C>G	Benign FAF >5%	1.0	4.854	0.318;.		0.165990	28.7	P;LP	Conflicting_classifications_of_pathogenicity
ALK	NM_004304.5	c.1129C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.997	1.694	0.183			16.31	B	
ALK	NM_004304.5	c.1129C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.997	1.694	0.203			20.4	B	
ALK	NM_004304.5	c.1111G>A	Likely_benign FAF >0.1%, REVEL <0.29, SpliceAI<=0.1	1.0	1.144	0.045		0.00253267	17.72	B	Benign
ALK	NM_004304.5	c.1110G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.997	0.202	0.106			17.21	B	
ALK	NM_004304.5	c.1110G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.997	0.202	0.106			17.27	B	
ALK	NM_004304.5	c.1107C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.757	-0.339	0.074			14.54	B	
ALK	NM_004304.5	c.1107C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.757	-0.339	0.074			14.63	B	Uncertain_significance
ALK	NM_004304.5	c.1092G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.999	0.439	0.106			16.81	B	
ALK	NM_004304.5	c.1092G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.999	0.439	0.105			17.04	B	
ALK	NM_004304.5	c.1083C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.141	-0.009				33.0		
ALK	NM_004304.5	c.1083C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.141	-0.009				33.0		Uncertain_significance
ALK	NM_004304.5	c.1059G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.937	-0.119	0.205		6.80000e-07	9.635	B	
ALK	NM_004304.5	c.1059G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.937	-0.119	0.202			9.848	B	
ALK	NM_004304.5	c.1039C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.952	1.588	0.156			18.53	B	
ALK	NM_004304.5	c.1039C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.952	1.588	0.141			23.7	B	Uncertain_significance
ALK	NM_004304.5	c.1035C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.999	1.984	0.367			22.9	P	
ALK	NM_004304.5	c.1035C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.999	1.984				36.0		
ALK	NM_004304.5	c.1029G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.884	-0.259	0.052			12.85	B	Uncertain_significance
ALK	NM_004304.5	c.1029G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.884	-0.259	0.050			12.94	B	
ALK	NM_004304.5	c.1026T>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.002	-1.844	0.237			0.703	P	
ALK	NM_004304.5	c.1026T>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.002	-1.844	0.237			0.646	P	
ALK	NM_004304.5	c.1017G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.999	0.316	0.284			17.22	A	
ALK	NM_004304.5	c.1017G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.999	0.316	0.292			16.84	A	Uncertain_significance
ALK	NM_004304.5	c.993C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.997	0.277	0.235			15.81	A	
ALK	NM_004304.5	c.993C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.997	0.277	0.235			15.77	A	
ALK	NM_004304.5	c.972C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.998	0.3	0.136			20.7	P	
ALK	NM_004304.5	c.972C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.998	0.3	0.136			20.8	P	Uncertain_significance
ALK	NM_004304.5	c.942G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.998	0.291	0.030			16.13	B	
ALK	NM_004304.5	c.942G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.998	0.291	0.031			16.17	B	
ALK	NM_004304.5	c.939G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.999	0.425	0.057			18.89	B	
ALK	NM_004304.5	c.939G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.999	0.425	0.050			18.77	B	
ALK	NM_004304.5	c.932G>A	Likely_benign FAF >0.1%, REVEL <0.29, SpliceAI<=0.1	0.0	-0.479	0.028		0.00104487	0.686	B	Conflicting_classifications_of_pathogenicity
ALK	NM_004304.5	c.930G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.17	0.102	0.032		7.72900e-05	3.192	B	Conflicting_classifications_of_pathogenicity
ALK	NM_004304.5	c.930G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.17	0.102	0.032			3.354	B	
ALK	NM_004304.5	c.915T>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.794	0.123	0.075			1.098	B	
ALK	NM_004304.5	c.915T>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.794	0.123	0.075			0.831	B	
ALK	NM_004304.5	c.910C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.081	-0.4	0.069			1.515	B	
ALK	NM_004304.5	c.910C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.081	-0.4	0.043			9.921	B	Uncertain_significance
ALK	NM_004304.5	c.909G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.146	0.207	0.021			12.67	B	
ALK	NM_004304.5	c.909G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.146	0.207	0.022		7.39000e-06	12.66	B	
ALK	NM_004304.5	c.907T>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.995	0.372	0.035			15.97	B	
ALK	NM_004304.5	c.907T>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.995	0.372	0.029			18.01	B	
ALK	NM_004304.5	c.852G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.908	0.212	0.129		2.80000e-07	12.03	B	
ALK	NM_004304.5	c.852G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.908	0.212	0.132			11.15	B	
ALK	NM_004304.5	c.850A>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.006	-0.104	0.281			15.67	B	Uncertain_significance
ALK	NM_004304.5	c.850A>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.006	-0.104	0.145			6.234	B	Uncertain_significance
ALK	NM_004304.5	c.846C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.136	0.227	0.010			5.561	B	
ALK	NM_004304.5	c.846C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.136	0.227	0.010			5.221	B	
ALK	NM_004304.5	c.843T>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	-2.301	0.050			0.002	B	
ALK	NM_004304.5	c.843T>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	-2.301	0.050		5.78800e-05	0.001	B	Uncertain_significance
ALK	NM_004304.5	c.838C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.99	2.054	0.036			18.63	B	Uncertain_significance
ALK	NM_004304.5	c.838C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.99	2.054	0.102			19.59	B	
ALK	NM_004304.5	c.828T>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.39	-0.562				32.0		
ALK	NM_004304.5	c.828T>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.39	-0.562				32.0		
ALK	NM_004304.5	c.825G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.853	-0.408	0.219			14.08	A	Conflicting_classifications_of_pathogenicity
ALK	NM_004304.5	c.825G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.853	-0.408	0.219			14.05	A	
ALK	NM_004304.5	c.810C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.979	-0.04	0.179		4.43000e-06	13.84	P	
ALK	NM_004304.5	c.810C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.979	-0.04	0.179			14.04	P	
ALK	NM_004304.5	c.807C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.998	0.253	0.203			15.19	B	
ALK	NM_004304.5	c.807C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.998	0.253	0.203			14.89	B	
ALK	NM_004304.5	c.804T>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.999	0.512	0.284			18.38	P	
ALK	NM_004304.5	c.804T>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.999	0.512	0.289			18.56	P	
ALK	NM_004304.5	c.790C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.997	1.335	0.044			17.27	B	Uncertain_significance
ALK	NM_004304.5	c.790C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.997	1.335	0.086			19.75	B	
ALK	NM_004304.5	c.786T>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.927	-0.153				35.0		
ALK	NM_004304.5	c.786T>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.927	-0.153				35.0		
ALK	NM_004304.5	c.781C>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.998	2.375			1.24000e-06	37.0		Conflicting_classifications_of_pathogenicity
ALK	NM_004304.5	c.781C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.998	2.375	0.267			18.8	B	Uncertain_significance
ALK	NM_004304.5	c.780C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.644	-0.521	0.190			12.96	P	
ALK	NM_004304.5	c.780C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.644	-0.521	0.190			12.61	P	Uncertain_significance
ALK	NM_004304.5	c.776G>A	Likely_benign FAF >0.1%, REVEL <0.29, SpliceAI<=0.1	1.0	4.636	0.151		0.00452286	25.2	B	Benign/Likely_benign
ALK	NM_004304.5	c.759C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.997	0.178	0.121			12.62	P	
ALK	NM_004304.5	c.759C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.997	0.178	0.076			12.55	P	
ALK	NM_004304.5	c.753C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.96	-0.016	0.253			17.15	P	
ALK	NM_004304.5	c.753C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.96	-0.016	0.253			16.83	P	
ALK	NM_004304.5	c.723T>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.837	1.594	0.027		1.77300e-05	10.49	P	Uncertain_significance
ALK	NM_004304.5	c.723T>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.837	1.594	0.065		1.06300e-05	10.36	P	Uncertain_significance
ALK	NM_004304.5	c.720T>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.381	0.503				34.0		
ALK	NM_004304.5	c.720T>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.381	0.503				33.0		
ALK	NM_004304.5	c.717T>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.016	0.053	0.019			1.098	B	
ALK	NM_004304.5	c.717T>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.016	0.053	0.019			1.058	B	
ALK	NM_004304.5	c.696C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.011	0.091	0.110			4.997	B	
ALK	NM_004304.5	c.696C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.011	0.091	0.110			4.791	B	Uncertain_significance
ALK	NM_004304.5	c.684A>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.52	-0.551	0.039			8.76	B	Uncertain_significance
ALK	NM_004304.5	c.684A>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.52	-0.551	0.041			9.143	B	
ALK	NM_004304.5	c.681G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.294	0.388	0.073			11.93	B	
ALK	NM_004304.5	c.681G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.294	0.388	0.071			11.11	B	
ALK	NM_004304.5	c.679T>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.003	0.637	0.015			1.936	B	
ALK	NM_004304.5	c.679T>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.003	0.637	0.008			4.934	B	
ALK	NM_004304.5	c.675C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.001	0.359	0.246			11.5	B	
ALK	NM_004304.5	c.675C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.001	0.359	0.257			9.929	B	
ALK	NM_004304.5	c.672T>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	-0.363	0.031			3.957	B	
ALK	NM_004304.5	c.672T>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	-0.363	0.037			3.332	B	
ALK	NM_004304.5	c.660C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.001	-0.324	0.140			2.552	B	
ALK	NM_004304.5	c.660C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.001	-0.324	0.140			2.142	B	
ALK	NM_004304.5	c.609G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.861	-0.238	0.058			18.53	B	
ALK	NM_004304.5	c.609G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.861	-0.238	0.058			18.53	B	Uncertain_significance
ALK	NM_004304.5	c.607A>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.997	2.388	0.287			24.8	B	
ALK	NM_004304.5	c.607A>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.997	2.388	0.123			22.2	B	Uncertain_significance
ALK	NM_004304.5	c.600A>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.943	-0.102	0.156			18.87	A	
ALK	NM_004304.5	c.600A>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.943	-0.102	0.206			18.91	A	
ALK	NM_004304.5	c.592G>A	Likely_benign FAF >0.1%, REVEL <0.29, SpliceAI<=0.1	1.0	3.123	0.020		0.00608700	23.0	B	Benign/Likely_benign
ALK	NM_004304.5	c.558G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.998	0.512	0.352			21.1	P	
ALK	NM_004304.5	c.558G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.998	0.512	0.354			21.1	P	Uncertain_significance
ALK	NM_004304.5	c.550C>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.997	2.249				37.0		Uncertain_significance
ALK	NM_004304.5	c.550C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.997	2.249	0.295			24.1	P	
ALK	NM_004304.5	c.546A>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.995	0.151	0.013			17.02	B	
ALK	NM_004304.5	c.546A>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.995	0.151	0.013			17.0	B	
ALK	NM_004304.5	c.540A>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.999	0.427	0.030			13.1	B	
ALK	NM_004304.5	c.540A>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.999	0.427	0.030			13.1	B	Uncertain_significance
